Johns Hopkins University	['Roger D. Peng, PhD', 'Jeff Leek, PhD', 'Brian Caffo, PhD']	Exploratory Data Analysis	Mar 2nd, 2015	4 weeks long
The University of Edinburgh & Universidad ORT Uruguay	['Areti Manataki', 'Inés Friss de Kereki']	Code Yourself! An Introduction to Programming	Mar 9th, 2015	5 weeks long
Johns Hopkins University	['Jeff Leek, PhD', 'Roger D. Peng, PhD', 'Brian Caffo, PhD']	Getting and Cleaning Data	Mar 2nd, 2015	4 weeks long
Johns Hopkins University	['Jeff Leek, PhD', 'Roger D. Peng, PhD', 'Brian Caffo, PhD']	Practical Machine Learning	Mar 2nd, 2015	4 weeks long
Johns Hopkins University	['Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD']	Statistical Inference	Mar 2nd, 2015	4 weeks long
University of Pennsylvania	['Dr. Santosh S. Venkatesh']	Probability	Mar 2nd, 2015	8 weeks long
Johns Hopkins University	['Brian Caffo, PhD', 'Roger D. Peng, PhD', 'Jeff Leek, PhD']	Regression Models	Mar 2nd, 2015	4 weeks long
University of Maryland, College Park	['Michael R. Pratt']	New Venture Finance: Startup Funding for Entrepreneurs	Mar 16th, 2015	4 weeks long
Rice University	['Joe Warren', 'Scott Rixner', 'John Greiner', 'Stephen Wong']	An Introduction to Interactive Programming in Python (Part 2)	Mar 27th, 2015	4 weeks long
University of Pennsylvania	['Connie B. Scanga, PhD']	Vital Signs: Understanding What the Body Is Telling Us	Mar 16th, 2015	6 weeks long
University of New Mexico	['Greg Heileman']	Web Application Architectures	Mar 16th, 2015	6 weeks long
École Polytechnique Fédérale de Lausanne	['Olivier L. Burdet']	L'Art des Structures 2 : treillis, poutres, dalles et cadres	Feb 13th, 2015	11 weeks long
École Polytechnique Fédérale de Lausanne	['Pierre-Yves Gilliéron', 'Mr. Bertrand Merminod']	Éléments de Géomatique	Feb 16th, 2015	8 weeks long
University of Wisconsin–Madison	['Steven Ackerman', 'Margaret Mooney']	Changing Weather and Climate in the Great Lakes Region	Feb 23rd, 2015	4 weeks long
Ludwig-Maximilians-Universität München (LMU)	['Christopher Balme']	Theatre and Globalization	Feb 16th, 2015	6 weeks long
École Polytechnique Fédérale de Lausanne	['Jamila Sam', 'Jean-Cédric Chappelier']	Introduction à la programmation orientée objet (en C++)	Feb 23rd, 2015	7 weeks long
École Polytechnique Fédérale de Lausanne	['Jérôme Chenal']	Villes africaines: Introduction à la planification urbaine / African cities : an introduction to urban planning	Feb 16th, 2015	12 weeks long
University of California, Irvine	['Dr. Peter Navarro']	The Power of Microeconomics: Economic Principles in the Real World	Go at your own pace.	Indeterminate Duration
University of California, Irvine	['Dr. Peter Navarro']	The Power of Macroeconomics: Economic Principles in the Real World	Go at your own pace.	Indeterminate Duration
University of Minnesota	['Joseph A Konstan', 'Michael D Ekstrand']	Introduction to Recommender Systems	Go at your own pace.	Indeterminate Duration
Johns Hopkins University	['Dr. Megan Weil Latshaw, PhD', 'Beth A. Resnick, MPH']	Chemicals and Health	Mar 9th, 2015	6 weeks long
UNSW Australia (The University of New South Wales)	['Dr Mike Ryan', 'Dr Ian  Faulconbridge ']	Introduction to Systems Engineering	Mar 2nd, 2015	9 weeks long
Icahn School of Medicine at Mount Sinai	['Eric Sobie, PhD']	Dynamical Modeling Methods for Systems Biology	Mar 2nd, 2015	7 weeks long
Johns Hopkins University	['Janet Holbrook, PhD, MPH', 'Lea T. Drye, PhD']	Design and Interpretation of Clinical Trials	Mar 9th, 2015	6 weeks long
Johns Hopkins University	['Roger D. Peng, PhD', 'Jeff Leek, PhD', 'Brian Caffo, PhD']	Reproducible Research	Mar 2nd, 2015	4 weeks long
University of Maryland, College Park	['Jonathan  Katz']	Cryptography	Mar 9th, 2015	6 weeks long
Università Bocconi	['Franz Wohlgezogen']	International Leadership and Organizational Behavior	Mar 6th, 2015	6 weeks long
Johns Hopkins University	['Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD']	Developing Data Products	Mar 2nd, 2015	4 weeks long
Tel Aviv University	['Professor Yoram  Y. Margalioth', 'Einat Solnik', 'Inbar Ben-Ari']	Economic Growth and Distributive Justice	Mar 8th, 2015	6 weeks long
University of Copenhagen	['Jon Stewart, PhD, Dr theol & phil']	Søren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity	Mar 9th, 2015	8 weeks long
Tel Aviv University	['Professor Asher  Susser', 'Duygu Atlas']	The Emergence of the Modern Middle East - Part I	Mar 8th, 2015	4 weeks long
University of Houston System	['Dr. Paige K. Evans', 'Mariam Manuel']	Preparing for the AP Physics 1 Exam	Mar 8th, 2015	8 weeks long
University of Pittsburgh	['Elena A. Baylis', 'Elizabeth   Ferrell Bjerke, JD', 'Amesh A. Adalja, MD, FACP', 'Ryan Morhard']	Epidemics, Pandemics and Outbreaks	Mar 16th, 2015	4 weeks long
Georgia Institute of Technology	['Dr. Bonnie H. Ferri', 'Dr. Robert Allen Robinson, Jr.']	Introduction to Electronics	Mar 22nd, 2015	9 weeks long
University of Illinois at Urbana-Champaign	['Indranil Gupta']	Cloud Computing Concepts: Part 2	Mar 16th, 2015	5 weeks long
University of California, San Francisco	['Jeanette McCarthy, MPH, PhD ', 'Robert L. Nussbaum, MD']	Genomic and Precision Medicine	Mar 16th, 2015	7 weeks long
University of California, San Diego 	['Pavel  Pevzner', 'Phillip E. C. Compeau']	Bioinformatics Algorithms (Part 2) 	Mar 16th, 2015	10 weeks long
Rice University	['Scott Rixner', 'Joe Warren', 'Luay Nakhleh']	Principles of Computing (Part 2)	Mar 27th, 2015	4 weeks long
University of New Mexico	['Doug E Thomas, Ph.D.']	International Business II - Negocios Internacionales II	Mar 16th, 2015	6 weeks long
University of Illinois at Urbana-Champaign	['ChengXiang Zhai']	Text Retrieval and Search Engines	Mar 16th, 2015	4 weeks long
Vanderbilt University	['Dr. Douglas C. Schmidt']	Programming Mobile Services for Android Handheld Systems: Concurrency	Mar 25th, 2015	4 weeks long
Johns Hopkins University	['Dr. Pamela R. Jeffries, PhD, RN, FAAN, ANEF', 'David W. Andrews, Ph.D.']	University Teaching 101	Mar 16th, 2015	6 weeks long
The Pennsylvania State University	['Dr. Anthony C. Robinson']	Maps and the Geospatial Revolution	Mar 25th, 2015	5 weeks long
Commonwealth Education Trust	['Professor Stephen Dinham', 'Professor John MacBeath']	Foundations of Teaching for Learning 7: Being a Professional	Mar 16th, 2015	7 weeks long
Peking University	['Xiaoyu Liu']	Chinese for Beginners	Go at your own pace.	Indeterminate Duration
University of Washington	['Dr. Matt McGarrity']	Introduction to Public Speaking	Go at your own pace.	Indeterminate Duration
University of Virginia	['Bruce Holsinger']	Plagues, Witches, and War: The Worlds of Historical Fiction	Go at your own pace.	Indeterminate Duration
University of Virginia	['Louis A. Bloomfield']	How Things Work	Go at your own pace.	Indeterminate Duration
University of Maryland, College Park	['Dr. Thomas J. Mierzwa']	Innovation for Entrepreneurs: From Idea to Marketplace	Mar 16th, 2015	4 weeks long
The University of North Carolina at Chapel Hill	['Dr. William  Ferris']	The American South: Its Stories, Music, and Art	Go at your own pace.	Indeterminate Duration
University of Virginia	['Professor Gerry Warburg']	Public Policy Challenges of the 21st Century	Go at your own pace.	Indeterminate Duration
Case Western Reserve University	['Professor Michael Goldberg']	Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies	Go at your own pace.	Indeterminate Duration
University of Virginia	['Edward D. Hess']	Grow to Greatness: Smart Growth for Private Businesses, Part II	Go at your own pace.	Indeterminate Duration
University of Virginia	['Edward D. Hess']	Grow to Greatness: Smart Growth for Private Businesses, Part I	Go at your own pace.	Indeterminate Duration
Stanford University	['Maya Adam, MD']	Child Nutrition and Cooking	Go at your own pace.	Indeterminate Duration
Curtis Institute of Music	['Jonathan Biss']	Exploring Beethoven’s Piano Sonatas	Go at your own pace.	Indeterminate Duration
The Ohio State University	['Jim Fowler, PhD']	Calculus One	Go at your own pace.	Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU)	['Tobias Kretschmer']	Competitive Strategy	Go at your own pace.	Indeterminate Duration
Columbia University	['Martin Haugh', 'Garud Iyengar']	Financial Engineering and Risk Management Part I	Go at your own pace.	Indeterminate Duration
University of Pennsylvania	['Barbara E. Kahn', 'Peter Fader', 'David Bell']	Introduction to Marketing	Apr 6th, 2015	4 weeks long
University of Michigan	['Charles Severance']	Programming for Everybody (Python)	Jun 1st, 2015	10 weeks long
